size,sample,time_naive,time_better,time_blas
710,6,0.270000,0.120000,0.180000
710,7,0.280000,0.100000,0.180000
710,8,0.260000,0.100000,0.210000
710,9,0.260000,0.120000,0.180000
760,0,0.340000,0.130000,0.220000
760,1,0.360000,0.120000,0.210000
760,2,0.340000,0.120000,0.240000
760,3,0.360000,0.120000,0.220000
760,4,0.330000,0.130000,0.220000
760,5,0.380000,0.130000,0.240000
760,6,0.330000,0.130000,0.210000
760,7,0.330000,0.120000,0.210000
760,8,0.330000,0.120000,0.220000
760,9,0.360000,0.130000,0.230000
810,0,0.430000,0.170000,0.280000
810,1,0.430000,0.160000,0.280000
810,2,0.420000,0.160000,0.300000
810,3,0.470000,0.170000,0.280000
810,4,0.440000,0.180000,0.260000
810,5,0.410000,0.150000,0.260000
810,6,0.410000,0.150000,0.260000
810,7,0.410000,0.150000,0.280000
810,8,0.430000,0.150000,0.270000
810,9,0.410000,0.150000,0.270000
860,0,0.500000,0.190000,0.320000
860,1,0.500000,0.190000,0.320000
860,2,0.490000,0.180000,0.320000
860,3,0.510000,0.190000,0.490000
860,4,0.550000,0.230000,0.380000
860,5,0.580000,0.190000,0.340000
860,6,0.530000,0.200000,0.320000
860,7,0.530000,0.190000,0.320000
860,8,0.540000,0.210000,0.350000
860,9,0.570000,0.200000,0.340000
910,0,0.600000,0.320000,0.400000
910,1,0.590000,0.230000,0.380000
910,2,0.590000,0.250000,0.390000
910,3,0.610000,0.240000,0.380000
910,4,0.580000,0.260000,0.380000
910,5,0.650000,0.250000,0.400000
910,6,0.580000,0.240000,0.380000
910,7,0.580000,0.240000,0.400000
910,8,0.590000,0.280000,0.380000
910,9,0.590000,0.220000,0.370000
960,0,0.720000,0.280000,0.440000
960,1,0.700000,0.270000,0.440000
960,2,0.710000,0.280000,0.480000
960,3,0.720000,0.260000,0.460000
960,4,0.750000,0.270000,0.460000
960,5,0.740000,0.260000,0.450000
960,6,0.720000,0.250000,0.440000
960,7,0.740000,0.260000,0.450000
960,8,0.720000,0.270000,0.430000
960,9,0.720000,0.290000,0.440000
1010,0,0.830000,0.310000,0.510000
1010,1,0.830000,0.340000,0.520000
1010,2,0.850000,0.320000,0.520000
1010,3,0.810000,0.380000,0.510000
1010,4,0.860000,0.310000,0.520000
1010,5,0.820000,0.330000,0.510000
1010,6,0.820000,0.320000,0.510000
1010,7,0.820000,0.350000,0.520000
1010,8,0.810000,0.330000,0.510000
1010,9,0.820000,0.320000,0.510000
