size,sample,time_naive,time_better,time_blas
710,2,1.249896339,0.246332431,0.007721521
710,3,1.263578599,0.242227394,0.008041319
710,4,1.277943087,0.258598621,0.008939347
710,5,1.244219462,0.259632386,0.007964842
710,6,1.313327302,0.237199764,0.007390827
710,7,1.266903649,0.242130626,0.007504039
710,8,1.282900276,0.249882482,0.0085061
710,9,1.290512276,0.246920856,0.009804355
760,0,1.588651794,0.304516796,0.010352815
760,1,1.535819563,0.311636534,0.012166466
760,2,1.599838721,0.320432178,0.013995329
760,3,1.577645494,0.320553499,0.015580997
760,4,1.595158979,0.325221984,0.009974178
760,5,1.599190606,0.313274423,0.008548103
760,6,1.629194217,0.314154368,0.008544841
760,7,1.622517302,0.300687393,0.01638313
760,8,1.598244791,0.319599137,0.012826042
760,9,1.566823931,0.312510967,0.011750901
810,0,1.913041513,0.373036838,0.016011441
810,1,1.90150871,0.367355914,0.01020164
810,2,1.904238328,0.36919816,0.011948416
810,3,1.88654493,0.363325282,0.012542514
810,4,1.909586738,0.362271112,0.010894564
810,5,1.84021361,0.355736818,0.012513017
810,6,1.877956531,0.583628317,0.009784901
810,7,1.866191425,0.36661138,0.014874859
810,8,1.871096477,0.376053329,0.014246339
810,9,1.898524619,0.355584354,0.010220634
860,0,2.252356904,0.425480624,0.012994025
860,1,2.239474814,0.421722871,0.017273979
860,2,2.24090354,0.706872827,0.016755788
860,3,2.308682056,0.435491089,0.016337212
860,4,2.275280275,0.4491385,0.013347216
860,5,2.305619929,0.44022112,0.012520482
860,6,2.277535873,0.456396618,0.01755014
860,7,2.32435873,0.45270942,0.015829073
860,8,2.389532856,0.435237139,0.237070447
860,9,2.296543704,0.434473919,0.016786847
910,0,2.601886673,0.498725076,0.017977115
910,1,2.586032764,0.481455288,0.01684127
910,2,2.632877235,0.492862575,0.019556593
910,3,2.861307008,0.49372754,0.017882491
910,4,2.665864801,0.496079383,0.013769745
910,5,2.683897709,0.528133302,0.015880973
910,6,2.715094198,0.494940388,0.022697399
910,7,2.625558885,0.510865835,0.02178982
910,8,2.649207535,0.832729493,0.016493872
910,9,2.643263258,0.508191958,0.017593462
960,0,3.178387743,0.621993776,0.018209494
960,1,3.21137611,0.608946592,0.019349057
960,2,3.22301496,0.617751523,0.250107408
960,3,3.160781035,0.61032826,0.02207085
960,4,3.263226051,0.621393308,0.018260412
960,5,3.24827059,0.613269778,0.018009811
960,6,3.268078416,0.636687096,0.015984958
960,7,3.169040459,0.628626961,0.023040422
960,8,3.432693077,0.609788768,0.017736027
960,9,3.270000565,0.613606555,0.018424738
1010,0,3.679913124,0.707494683,0.026364216
1010,1,3.666853595,0.694983377,0.268351902
1010,2,3.560892139,0.728975412,0.024027608
1010,3,3.673147477,0.708091755,0.026370697
1010,4,3.667753171,0.720540159,0.020608986
1010,5,3.704057041,0.749587301,0.022499383
1010,6,3.911686429,0.705893353,0.025835933
1010,7,3.706462237,0.735859137,0.020148729
1010,8,3.84135153,0.739761111,0.026006993
1010,9,3.759159583,0.77045628,0.020876327
