size,sample,time_naive,time_better,time_blas
10,0,0.000000,0.000000,0.000000
10,1,0.000000,0.000000,0.000000
10,2,0.000000,0.000000,0.000000
10,3,0.000000,0.000000,0.000000
10,4,0.000000,0.000000,0.000000
10,5,0.000000,0.000000,0.000000
10,6,0.000000,0.000000,0.000000
10,7,0.000000,0.000000,0.000000
10,8,0.000000,0.000000,0.000000
10,9,0.000000,0.000000,0.000000
60,0,0.000000,0.000000,0.000000
60,1,0.000000,0.000000,0.000000
60,2,0.000000,0.000000,0.000000
60,3,0.010000,0.000000,0.000000
60,4,0.000000,0.000000,0.000000
60,5,0.000000,0.000000,0.000000
60,6,0.000000,0.000000,0.000000
60,7,0.000000,0.000000,0.000000
60,8,0.000000,0.000000,0.000000
60,9,0.000000,0.000000,0.000000
110,0,0.010000,0.000000,0.000000
110,1,0.000000,0.000000,0.000000
110,2,0.010000,0.000000,0.000000
110,3,0.000000,0.000000,0.000000
110,4,0.010000,0.000000,0.000000
110,5,0.000000,0.000000,0.000000
110,6,0.010000,0.000000,0.000000
110,7,0.000000,0.000000,0.000000
110,8,0.010000,0.000000,0.000000
110,9,0.000000,0.000000,0.000000
160,0,0.010000,0.000000,0.000000
160,1,0.020000,0.000000,0.000000
160,2,0.010000,0.010000,0.000000
160,3,0.010000,0.000000,0.000000
160,4,0.020000,0.000000,0.000000
160,5,0.010000,0.010000,0.000000
160,6,0.010000,0.000000,0.000000
160,7,0.010000,0.000000,0.000000
160,8,0.010000,0.010000,0.000000
160,9,0.010000,0.000000,0.000000
210,0,0.020000,0.010000,0.000000
210,1,0.030000,0.010000,0.000000
210,2,0.030000,0.000000,0.010000
210,3,0.020000,0.010000,0.000000
210,4,0.030000,0.010000,0.000000
210,5,0.030000,0.000000,0.010000
210,6,0.020000,0.010000,0.000000
210,7,0.020000,0.010000,0.000000
210,8,0.030000,0.000000,0.010000
210,9,0.020000,0.010000,0.010000
260,0,0.050000,0.010000,0.010000
260,1,0.050000,0.010000,0.010000
260,2,0.050000,0.010000,0.010000
260,3,0.050000,0.010000,0.010000
260,4,0.050000,0.010000,0.010000
260,5,0.050000,0.010000,0.010000
260,6,0.050000,0.010000,0.010000
260,7,0.050000,0.010000,0.010000
260,8,0.050000,0.010000,0.010000
260,9,0.050000,0.010000,0.010000
310,0,0.080000,0.020000,0.020000
