size,sample,time_dot,time_matrix_vector
400,1,5.019e-5,3.5309e-5
400,2,2.5162e-5,2.2728e-5
400,3,3.1999e-5,1.8222e-5
400,4,2.2491e-5,2.2388e-5
400,5,2.3234e-5,1.9542e-5
400,6,2.9741e-5,2.0263e-5
400,7,2.7266e-5,2.1337e-5
400,8,2.0326e-5,1.4695e-5
400,9,2.8463e-5,1.8232e-5
400,10,3.07e-5,1.9593e-5
600,1,6.4751e-5,3.4062e-5
600,2,9.0697e-5,3.4412e-5
600,3,7.0619e-5,3.7321e-5
600,4,5.8595e-5,3.3174e-5
600,5,9.3688e-5,3.8207e-5
600,6,0.000108806,4.3198e-5
600,7,9.1213e-5,3.8156e-5
600,8,8.4148e-5,3.7558e-5
600,9,7.9487e-5,3.7867e-5
600,10,5.8955e-5,3.3175e-5
800,1,0.000194605,9.6648e-5
800,2,0.000229646,9.8647e-5
800,3,0.000199451,0.000106919
800,4,0.00024234,0.000114406
800,5,0.000211289,0.000105785
800,6,0.000236875,0.000100648
800,7,0.000176589,0.000100566
800,8,0.000363861,0.000109249
800,9,0.000195553,0.000101092
800,10,0.000192687,0.000115942
1000,1,0.000365068,0.000154726
1000,2,0.000328273,0.000146198
1000,3,0.000300884,0.000141248
1000,4,0.000252055,0.000146085
1000,5,0.000316836,0.000149818
1000,6,0.000309102,0.000130317
1000,7,0.000294489,0.000105393
1000,8,0.000291746,0.000150416
1000,9,0.000278279,0.000147219
1000,10,0.000280796,0.000144961
1200,1,0.000721184,0.000219632
1200,2,0.000514885,0.000213187
1200,3,0.00071181,0.000229368
1200,4,0.000691588,0.0002618
1200,5,0.000647595,0.000238885
1200,6,0.000592156,0.000234936
1200,7,0.00062067,0.000242433
1200,8,0.000584917,0.00018853
1200,9,0.000617782,0.000232977
1200,10,0.000804725,0.000279176
1400,1,0.00079866,0.000356179
1400,2,0.000949201,0.000342586
1400,3,0.000929483,0.000325045
1400,4,0.000928999,0.000362521
1400,5,0.00101753,0.000409153
1400,6,0.000815254,0.000294923
1400,7,0.000871198,0.000314228
1400,8,0.00090131,0.000300843
1400,9,0.000987559,0.000302441
1400,10,0.000919254,0.000310061
1600,1,0.001290106,0.000391405
1600,2,0.001149456,0.000401346
1600,3,0.001325395,0.000393127
1600,4,0.001207772,0.00038394
1600,5,0.001205617,0.000409173
1600,6,0.001300594,0.000422796
1600,7,0.001270513,0.00042094
1600,8,0.001253322,0.000438822
1600,9,0.001311494,0.000426869
1600,10,0.001274638,0.000433717
1800,1,0.001506109,0.000652122
1800,2,0.001419929,0.000654999
1800,3,0.001582328,0.000636056
1800,4,0.001745582,0.000621186
1800,5,0.001571469,0.000586071
1800,6,0.001500798,0.00059196
1800,7,0.001582225,0.000615451
1800,8,0.001739065,0.000696413
1800,9,0.001624288,0.000676181
1800,10,0.001774147,0.00103566
2000,1,0.001864555,0.000795247
2000,2,0.001860688,0.000803683
2000,3,0.001842014,0.000747069
2000,4,0.001834527,0.000784739
2000,5,0.001887336,0.000761774
2000,6,0.001920449,0.000750894
2000,7,0.001829288,0.000773591
2000,8,0.001824451,0.000755555
2000,9,0.001898865,0.000751182
2000,10,0.001834867,0.000832774
